_id,url,ip,timeStamp,timeSpent
1,http://china.com.cn/semper/rutrum/nulla.aspx,173.212.109.187,14:15,926
2,http://pbs.org/ipsum/primis/in/faucibus.html,103.13.94.251,18:26,955
3,https://mysql.com/id/massa/id/nisl/venenatis/lacinia/aenean.jpg,25.55.16.121,05:47,870
4,http://cbslocal.com/amet/consectetuer/adipiscing/elit.png,187.221.152.108,07:27,419
5,http://globo.com/sed/vestibulum/sit/amet/cursus.aspx,221.103.99.158,08:15,284
6,https://tamu.edu/est/risus/auctor/sed/tristique.xml,128.32.148.77,15:42,120
7,https://comcast.net/sit/amet/consectetuer.aspx,1.98.215.222,07:45,606
8,https://discovery.com/tortor/id/nulla/ultrices.js,2.67.81.55,10:25,362
9,https://economist.com/turpis/adipiscing/lorem/vitae.html,17.66.174.33,15:55,330
10,http://digg.com/dictumst.xml,180.30.13.46,14:07,282
11,http://disqus.com/in/imperdiet/et/commodo.html,46.181.75.124,0:56,885
12,http://auda.org.au/justo/maecenas/rhoncus/aliquam/lacus/morbi/quis.jsp,109.231.10.224,17:06,67
13,https://wikipedia.org/iaculis/justo/in/hac.json,172.162.137.146,21:21,363
14,http://marriott.com/cursus/vestibulum/proin/eu/mi/nulla/ac.html,171.103.81.147,17:51,763
15,http://sitemeter.com/eget/nunc.js,78.47.194.169,17:26,907
16,https://time.com/luctus/cum/sociis/natoque/penatibus/et.html,60.98.25.165,09:45,177
17,http://rambler.ru/ipsum/integer/a.json,171.157.193.156,04:06,803
18,http://t.co/habitasse/platea.js,236.137.14.54,04:32,690
19,http://cnbc.com/blandit/nam/nulla/integer.html,77.120.117.50,21:18,402
20,http://so-net.ne.jp/urna/ut.html,150.26.175.91,09:01,420
